train_tweet,train_label,train_BERT_tweet,train_BERT_tweet_length
would yall lil ugly bald head bitch stop make makeup amp weave,1,[CLS] would yall lil ugly bald head bitch stop make makeup amp weave,14
color contact eye blinders mine cause cant see all lmao,2,[CLS] color contact eye blinders mine cause cant see all lmao,15
toe aint do pussy stink,1,[CLS] toe aint do pussy stink,7
need sox fuck yeah love kinky scally lad w rank sox sneak,1,[CLS] need sox fuck yeah love kinky scally lad w rank sox sneak,15
baby albino,2,[CLS] baby albino,4
imangie im even shy stfu kikis mom hi angelique angelique smile dip cracker soup,1,[CLS] imangie im even shy stfu kikis mom hi angelique angelique smile dip cracker soup,22
wish bae get hoe tho,1,[CLS] wish bae get hoe tho,7
sneakyb hate boys deny bitch smh,1,[CLS] sneakyb hate boys deny bitch smh,10
sugga theres lane bitch need stay leave n get right fuck outta face,1,[CLS] sugga theres lane bitch need stay leave n get right fuck outta face,16
single excuse hoe luu,1,[CLS] single excuse hoe luu,7
a brainer soon bitch get rich political power view change political whore,1,[CLS] a brainer soon bitch get rich political power view change political whore,14
yall bitch wit edge talk,1,[CLS] yall bitch wit edge talk,7
woof woof sexy thug boy scally,1,[CLS] woof woof sexy thug boy scally,10
oh man its be molly ho fuck ya seed at fix,1,[CLS] oh man its be molly ho fuck ya seed at fix,12
oregon choke every year get field trash ass program rft,1,[CLS] oregon choke every year get field trash ass program rft,12
ltf happy bday bitch ass nigga preciate bitch roll up,1,[CLS] ltf happy bday bitch ass nigga preciate bitch roll up,16
thegreat thegreat shut zoe fight pussy zoe im good man good maam move along,1,[CLS] thegreat thegreat shut zoe fight pussy zoe im good man good maam move along,20
rapdreams bitch hold nigga get lock up nigga go college military different story,1,[CLS] rapdreams bitch hold nigga get lock up nigga go college military different story,18
jihadi patron hajjaj alajmi arrest kuwait airport,2,[CLS] jihadi patron hajjaj alajmi arrest kuwait airport,14
use ymxb find slope ass,1,[CLS] use ymxb find slope ass,8
chrus still supahot tho walk teacher test drop test bitch fohead,1,[CLS] chrus still supahot tho walk teacher test drop test bitch fohead,17
love eat pussy lol never get full lol eat shit forever lol ever,1,[CLS] love eat pussy lol never get full lol eat shit forever lol ever,17
boolin bando wit bitch,1,[CLS] boolin bando wit bitch,7
tommycollins yeah texans much better fuck retard see mad this,1,[CLS] tommycollins yeah texans much better fuck retard see mad this,15
thunduh k bye hoe um bye,1,[CLS] thunduh k bye hoe um bye,10
richnow show hella tinder hoe im friend anymore chill bring like like prople,1,[CLS] richnow show hella tinder hoe im friend anymore chill bring like like prople,19
ultraviolence video come little bitch mtvhottest lana del rey bitchy promo,1,[CLS] ultraviolence video come little bitch mtvhottest lana del rey bitchy promo,17
brat love hoe,1,[CLS] brat love hoe,5
lmao bitch get huggies,1,[CLS] lmao bitch get huggies,8
happy birthday nigs thank yo,1,[CLS] happy birthday nigs thank yo,7
scally lad would get,2,[CLS] scally lad would get,6
thunduh come never bring food dont car retard,1,[CLS] thunduh come never bring food dont car retard,14
want get nose bad bois scally chav sockfetish stink hot sox legs,2,[CLS] want get nose bad bois scally chav sockfetish stink hot sox legs,17
way fuck yo bitch year old,1,[CLS] way fuck yo bitch year old,7
dont make make fall live nigga like meee bird amp favorite songs weeknd,1,[CLS] dont make make fall live nigga like meee bird amp favorite songs weeknd,18
ya ever ask bitch bitch kanye voice yes,1,[CLS] ya ever ask bitch bitch kanye voice yes,9
wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shit sum gurls,1,[CLS] wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shit sum gurls,27
naw old tape new cover upcoming mixtape kingofthehill yeah im wait hoe mayne,1,[CLS] naw old tape new cover upcoming mixtape kingofthehill yeah im wait hoe mayne,20
hot rt lick it bitch fuck yeah eat trainer u dirty fucker,1,[CLS] hot rt lick it bitch fuck yeah eat trainer u dirty fucker,14
newly gay bitch kno shit work,1,[CLS] newly gay bitch kno shit work,8
overdose heavy drug sound bad tonight pussy shit every day,2,[CLS] overdose heavy drug sound bad tonight pussy shit every day,11
thunduh aye yall ima tryout bowl team frfr tryouts pass tho theres two retard,1,[CLS] thunduh aye yall ima tryout bowl team frfr tryouts pass tho theres two retard,25
im feel pretty fuckin ghetto smh,1,[CLS] im feel pretty fuckin ghetto smh,9
gay niggas wait act like bitch tonight,1,[CLS] gay niggas wait act like bitch tonight,10
yo girl cant homeboys ol weak bitch ass nigga,1,[CLS] yo girl cant homeboys ol weak bitch ass nigga,13
use send bitch up,1,[CLS] use send bitch up,5
cincokilby yall think celebrity pussy different locals yeah meghan goods be,1,[CLS] cincokilby yall think celebrity pussy different locals yeah meghan goods be,17
pussy lick pussy meow meow stopwhitepeople,1,[CLS] pussy lick pussy meow meow stopwhitepeople,14
stop bring weird niggers mention,1,[CLS] stop bring weird niggers mention,8
hoe hit,1,[CLS] hoe hit,4
bitch get cut everyday b,1,[CLS] bitch get cut everyday b,6
loud bitch annoy me,1,[CLS] loud bitch annoy me,6
chill sexy scally lad,2,[CLS] chill sexy scally lad,6
lam cry hoe thats tear clown,1,[CLS] lam cry hoe thats tear clown,9
call fireman cause turn hoe on,1,[CLS] call fireman cause turn hoe on,9
chase money hoe,1,[CLS] chase money hoe,5
baby thunduh alsarabsss hes beaner smh tell hes mexican,0,[CLS] baby thunduh alsarabsss hes beaner smh tell hes mexican,19
i want sex gf feel like im use her anonymous whata faggot,1,[CLS] i want sex gf feel like im use her anonymous whata faggot,17
peel peel bring back rewind back im move shaq line ooooow tf say trash,2,[CLS] peel peel bring back rewind back im move shaq line ooooow tf say trash,21
geewillikers ass slap one greatest things haha slap girl ass get mad aint get pussy week,1,[CLS] geewillikers ass slap one greatest things haha slap girl ass get mad aint get pussy week,22
man refer every girl bitch,1,[CLS] man refer every girl bitch,6
iwantfranny hes hoe cant,1,[CLS] iwantfranny hes hoe cant,12
cee let make couple tweet cuzzo page get twitter jaillmao bitch trick,1,[CLS] cee let make couple tweet cuzzo page get twitter jaillmao bitch trick,19
angiee bruno fag boy love me,1,[CLS] angiee bruno fag boy love me,9
amp might get ya bitch back amp thats,1,[CLS] amp might get ya bitch back amp thats,10
jrock true ride die bitch fuck hahahahah,1,[CLS] jrock true ride die bitch fuck hahahahah,13
brownies tonight kind,2,[CLS] brownies tonight kind,5
nonlykeisha u see damn phone ring marry bitch make demand call,1,[CLS] nonlykeisha u see damn phone ring marry bitch make demand call,15
make bitch lunch bitch love lunch,1,[CLS] make bitch lunch bitch love lunch,7
drc simple dont hoedont worry expose fight mewhy,1,[CLS] drc simple dont hoedont worry expose fight mewhy,15
bitch fuck u maybe get better,1,[CLS] bitch fuck u maybe get better,7
im do bitter bitch wrap angry bird theres app,1,[CLS] im do bitter bitch wrap angry bird theres app,11
cant stand i know want ass nigga bitch,1,[CLS] cant stand i know want ass nigga bitch,11
hardcore way eat mac cheese boil water snort cheese powder drink boil water fuck bitch,1,[CLS] hardcore way eat mac cheese boil water snort cheese powder drink boil water fuck bitch,16
help mate love scally play fuck yeah,1,[CLS] help mate love scally play fuck yeah,9
watch women try argue like dick actually fuck pussy before hate bitch,1,[CLS] watch women try argue like dick actually fuck pussy before hate bitch,13
grillo pit bull photograph lovely fairy tale creatures be fairy tale creatures,2,[CLS] grillo pit bull photograph lovely fairy tale creatures be fairy tale creatures,14
thick raw fuck damn man pussy get workout,1,[CLS] thick raw fuck damn man pussy get workout,9
get time bitch actin iffy,1,[CLS] get time bitch actin iffy,8
coleman swear im man easily easily behind austin nip,2,[CLS] coleman swear im man easily easily behind austin nip,11
nonlykeisha bet bitch kim bye,1,[CLS] nonlykeisha bet bitch kim bye,9
smoke weed public fuck cop man wanna do you run come retard,1,[CLS] smoke weed public fuck cop man wanna do you run come retard,15
aizah big booty hoe everywhere sheesh damn,1,[CLS] aizah big booty hoe everywhere sheesh damn,13
go back school suck dick hoe attend it,1,[CLS] go back school suck dick hoe attend it,10
whys bitch boost size exactly healthy tho,1,[CLS] whys bitch boost size exactly healthy tho,9
ok sis shed rather break bitch shrug shell tell work,1,[CLS] ok sis shed rather break bitch shrug shell tell work,11
holloway check th man cowboysnation even faggot ny fan stand,1,[CLS] holloway check th man cowboysnation even faggot ny fan stand,14
whiteponyjr ariza snake coward least cripple like hero roach lmaoo,0,[CLS] whiteponyjr ariza snake coward least cripple like hero roach lmaoo,20
hobbies include fight mariam bitch,1,[CLS] hobbies include fight mariam bitch,8
kidnap yo bitch,1,[CLS] kidnap yo bitch,4
fit lads nice gear scally lads n trainers would get,2,[CLS] fit lads nice gear scally lads n trainers would get,12
ceee one man trash another man treasure,2,[CLS] ceee one man trash another man treasure,9
dress cat halloween basic or pussy,1,[CLS] dress cat halloween basic or pussy,7
long distance shit wack know bitch cheat uh oh,1,[CLS] long distance shit wack know bitch cheat uh oh,11
happy birthday bitch nigga thank pal,1,[CLS] happy birthday bitch nigga thank pal,8
baby monkey bathtime awwwwe soooo adorable,2,[CLS] baby monkey bathtime awwwwe soooo adorable,12
rawr rt my sexy french scally love him frenchscally sexy scally woof woof,2,[CLS] rawr rt my sexy french scally love him frenchscally sexy scally woof woof,21
ppl talk bad ghettohood kid grow up nigga funnnnnnn,1,[CLS] ppl talk bad ghettohood kid grow up nigga funnnnnnn,16
im rea start smack bitch period bluffin best,1,[CLS] im rea start smack bitch period bluffin best,11
do believe hoe fact loyal i disagree that believe fact loyalest bunchthese hoe,1,[CLS] do believe hoe fact loyal i disagree that believe fact loyalest bunchthese hoe,19
keeks bitch curve everyone lol walk conversation like this smh,1,[CLS] keeks bitch curve everyone lol walk conversation like this smh,15
jonez im mad cuh hahaha suure tuku ho ita,2,[CLS] jonez im mad cuh hahaha suure tuku ho ita,17
beedontcare pussy still fresh lt something stink girls say,1,[CLS] beedontcare pussy still fresh lt something stink girls say,13
yall gimp up aint tht bitch huh lol,1,[CLS] yall gimp up aint tht bitch huh lol,14
sad tv character deaths be still bitter over stark man,2,[CLS] sad tv character deaths be still bitter over stark man,11
bruh stud keep think im soft hell ask ya girl many time scream bitch oh okay stfu bye hoe,1,[CLS] bruh stud keep think im soft hell ask ya girl many time scream bitch oh okay stfu bye hoe,23
hell yeah bro fuck yeah sexy scally lad hot gear,1,[CLS] hell yeah bro fuck yeah sexy scally lad hot gear,12
von drc must bitch sike naw always beef,1,[CLS] von drc must bitch sike naw always beef,12
text back give fuck ill text another bitch damn someone hurt lol,1,[CLS] text back give fuck ill text another bitch damn someone hurt lol,14
could go fat ass bitch lap,1,[CLS] could go fat ass bitch lap,7
guess what also zero time mansplaining adios stfu pussy,1,[CLS] guess what also zero time mansplaining adios stfu pussy,15
females think date pussy cute now stuff make pussy,1,[CLS] females think date pussy cute now stuff make pussy,10
oh yeah fuck bitch,1,[CLS] oh yeah fuck bitch,5
realistsam yea im ipad work friday let ball faggot i work,1,[CLS] realistsam yea im ipad work friday let ball faggot i work,17
look like bitch capacitor,1,[CLS] look like bitch capacitor,7
side bitch sunday,1,[CLS] side bitch sunday,4
wonder girl give head boys drink magaluf twitter probly send nudes fag,1,[CLS] wonder girl give head boys drink magaluf twitter probly send nudes fag,18
want snake bite industrial piercin amp tattoodem hoe accessories dea,1,[CLS] want snake bite industrial piercin amp tattoodem hoe accessories dea,15
hoe think meat slap ass ainna bruh,1,[CLS] hoe think meat slap ass ainna bruh,11
need trippy bitch fuck hennessy,1,[CLS] need trippy bitch fuck hennessy,8
gerryshalloweenparty halloween yesterday stupid nigger,0,[CLS] gerryshalloweenparty halloween yesterday stupid nigger,12
im early bird im night owl im wise worm,2,[CLS] im early bird im night owl im wise worm,10
bird grandkids may never see thank climate change climate,2,[CLS] bird grandkids may never see thank climate change climate,12
aint nothing cut bitch,1,[CLS] aint nothing cut bitch,6
