train_tweet,train_label,train_BERT_tweet,train_BERT_tweet_length
hat hoe favorite mw sevenone,1,[CLS] hat hoe favorite mw sevenone,8
every cartoon alway nuffsaid save hoe lmao lmao damn captain saveahoe,1,[CLS] every cartoon alway nuffsaid save hoe lmao lmao damn captain saveahoe,22
aint shit damn skippy lol,1,[CLS] aint shit damn skippy lol,9
shawn thunduh thats get yellow flag amaze hell yeah niggy,1,[CLS] shawn thunduh thats get yellow flag amaze hell yeah niggy,16
lmao fuck snake bitch em,1,[CLS] lmao fuck snake bitch em,8
thunduh lassen cc coach want me feel youll get nig doubt,0,[CLS] thunduh lassen cc coach want me feel youll get nig doubt,17
one followers somebody bitch,1,[CLS] one followers somebody bitch,5
bout cowboys shutup pussy,1,[CLS] bout cowboys shutup pussy,6
abrupt bitch u be around world back be,1,[CLS] abrupt bitch u be around world back be,9
newsatquestions yeah bitch yeah bitch call a maybe b steveo c later d jesse pinkman,1,[CLS] newsatquestions yeah bitch yeah bitch call a maybe b steveo c later d jesse pinkman,21
lmaooooooooooo nigga nuhcare ltbitch want like depress shitfoh,1,[CLS] lmaooooooooooo nigga nuhcare ltbitch want like depress shitfoh,24
welfaregovernment aid claim white people yall black slander trash now,2,[CLS] welfaregovernment aid claim white people yall black slander trash now,16
seh pussy wetter shower curtainahmesehwetnessltlmao,1,[CLS] seh pussy wetter shower curtainahmesehwetnessltlmao,16
awww meat meat feelinsi ainn n feel bitch,1,[CLS] awww meat meat feelinsi ainn n feel bitch,14
bitch nigga miss,1,[CLS] bitch nigga miss,5
lmfao cat start beat shit me nigga finally get pussy nigga,1,[CLS] lmfao cat start beat shit me nigga finally get pussy nigga,17
meet pussy ocean dr give pussy pill,1,[CLS] meet pussy ocean dr give pussy pill,8
bitch want real job become strippers lol lol,1,[CLS] bitch want real job become strippers lol lol,12
q get bitch dm ever readem top,1,[CLS] q get bitch dm ever readem top,10
jam bitch pretend tf crazy aint never lie,1,[CLS] jam bitch pretend tf crazy aint never lie,11
twitter source news broadcast fuck retard nbc abc cnn fox etc keep quiet,1,[CLS] twitter source news broadcast fuck retard nbc abc cnn fox etc keep quiet,16
def cowboy lol rt terrell owens best eagle amp cowboy ever dude cry like bitch tv romo,1,[CLS] def cowboy lol rt terrell owens best eagle amp cowboy ever dude cry like bitch tv romo,21
niggas whole hoe cuz say better,1,[CLS] niggas whole hoe cuz say better,11
eggplant emoji doey say look like scream lmao,2,[CLS] eggplant emoji doey say look like scream lmao,16
piss lad past out would lick dirty sole sleep,2,[CLS] piss lad past out would lick dirty sole sleep,10
say anything tho kiss faggot,1,[CLS] say anything tho kiss faggot,8
kaaat take find me hide lime tree dis bitch da wrong tree bro,1,[CLS] kaaat take find me hide lime tree dis bitch da wrong tree bro,17
ghettoits smart im idc,2,[CLS] ghettoits smart im idc,7
love fuck niggas hoe,1,[CLS] love fuck niggas hoe,8
ever expose females like that thats childish bitch nigga shiiii,1,[CLS] ever expose females like that thats childish bitch nigga shiiii,14
yall come frontbitch aint come,1,[CLS] yall come frontbitch aint come,10
easy cum easy hoe thats fact,1,[CLS] easy cum easy hoe thats fact,9
twitter rappers dm trash link,2,[CLS] twitter rappers dm trash link,7
new twitter confuse shit me go back south america bitch,1,[CLS] new twitter confuse shit me go back south america bitch,11
jones kiss u eye open watch bitchlmfao,1,[CLS] jones kiss u eye open watch bitchlmfao,11
ucfpinkparty come stay alive knight nation still early bird special comeatmeut,2,[CLS] ucfpinkparty come stay alive knight nation still early bird special comeatmeut,19
dude remember wop video omg find,2,[CLS] dude remember wop video omg find,9
could u bitch potent,1,[CLS] could u bitch potent,5
rt shit hear might true might faker bitch tell ya,1,[CLS] rt shit hear might true might faker bitch tell ya,12
a pussy day keep devil away,1,[CLS] a pussy day keep devil away,7
twotone next year bitch gonna like gotta promise expose,1,[CLS] twotone next year bitch gonna like gotta promise expose,11
love frat boy w soft long sole,2,[CLS] love frat boy w soft long sole,9
young pill chamberlain bitch love music,1,[CLS] young pill chamberlain bitch love music,7
garza thunduh im cool faggot chill tf cool nigga,1,[CLS] garza thunduh im cool faggot chill tf cool nigga,17
hes right bitch smh,1,[CLS] hes right bitch smh,7
take advantage nice person hoe everyjuan,1,[CLS] take advantage nice person hoe everyjuan,10
sex position u call fuck soul outta bitch,1,[CLS] sex position u call fuck soul outta bitch,9
run round like brand new pussy thats bout get fuck,1,[CLS] run round like brand new pussy thats bout get fuck,12
txt old bitch new bitch pussy wetter,1,[CLS] txt old bitch new bitch pussy wetter,10
bad bitch thing like,1,[CLS] bad bitch thing like,5
sad know hoe fuck bc aint get stack wait till friday,1,[CLS] sad know hoe fuck bc aint get stack wait till friday,14
eggleton oh god love victoria mitchell bitch love,1,[CLS] eggleton oh god love victoria mitchell bitch love,10
success hate strippers tell theyre dancers hoe ballet dancers pop pussy beethoven stripper,1,[CLS] success hate strippers tell theyre dancers hoe ballet dancers pop pussy beethoven stripper,18
white boy power bitch black power bitch,1,[CLS] white boy power bitch black power bitch,8
garza thunduh im sure bitch frfr tf,1,[CLS] garza thunduh im sure bitch frfr tf,13
prettyflvck paul thinkin bout gettin rentals da weekend oooh shit bitch betta stay da streets,1,[CLS] prettyflvck paul thinkin bout gettin rentals da weekend oooh shit bitch betta stay da streets,25
bitch care play role,1,[CLS] bitch care play role,5
